S.No,District,Name of the crop,Type of Season,Area as per Season and Crop Report (in Hectare),Estimated Average Yield per (Kg/Hectare),Estimated Production (Tonnes)
7,Salem,Tapioca,Kharif,11468,34275.391,393104
8,Namakkal,Tapioca,Kharif,16024,30093.088,482182
9,Dharmapuri,Tapioca,Kharif,12421,30384.544,377406
10,Coimbatore,Tapioca,Kharif,501,42479.167,21325
11,Erode,Tapioca,Kharif,5513,47734.518,263113
12,Tiruchirappalli,Tapioca,Kharif,5307,40925,217230
13,Karur,Tapioca,Kharif,1193,26958.333,32161
14,Perambalur,Tapioca,Kharif,1886,48041.667,90607
15,Thanjavur,Tapioca,Kharif,449,34218.279,15398
16,Tiruvarur,Tapioca,Kharif,80,34218.279,2737
17,Nagapattinam,Tapioca,Kharif,62,34218.279,2156
18,Pudukkottai,Tapioca,Kharif,273,34218.279,9342
19,Madurai,Tapioca,Kharif,25,34218.279,855
20,Theni,Tapioca,Kharif,203,37013.587,7514
21,Dindigul,Tapioca,Kharif,91,19536.353,3114
22,Ramanathapuram,Tapioca,Kharif,1,34218.279,34
23,Virudhunagar,Tapioca,Kharif,15,34218.279,513
24,Sivaganga,Tapioca,Kharif,27,34218.279,924
25,Tirunelveli,Tapioca,Kharif,166,34218.279,5680
26,Thoothukudi,Tapioca,Kharif,17,34218.279,582
27,Kanniyakumari,Tapioca,Kharif,1339,21750,29123
28,The Nilgiris,Tapioca,Kharif,37,34218.279,1266
29,Krishnagiri,Tapioca,Kharif,189,28257.813,5341
30,Ariyalur,Tapioca,Kharif,222,31375,6965
31,Tiruppur,Tapioca,Kharif,467,34656.25,16184
Total,State Total,Tapioca,Kharif,79344,34218.279,2715116
1,Kancheepuram,Potato,Kharif and Rabi Combined,0,0,0
2,Tiruvallur,Potato,Kharif and Rabi Combined,0,0,0
3,Cuddalore,Potato,Kharif and Rabi Combined,0,0,0
4,Villupuram,Potato,Kharif and Rabi Combined,0,0,0
5,Vellore,Potato,Kharif and Rabi Combined,0,0,0
